rank,asin,product_name,score,grade,reviews,rating,est_monthly_sales_units,price_usd,fba_size_tier,fba_competition,bsr,bsr_trend,demand_velocity,subcategory,seasonal_peak,data_penalty,risk_flags,why_it_passed,final_recommendation
1,B0D1PFH6BK,"LANE LINEN 100% Cotton Kitchen Dish Cloths, Ultra Soft Absorbent Quick Drying Di",53,C,8,4.5,2420,N/A (Keepa gap),large_standard,Unknown (no offer data),614,Stable,Stable,Dish Cloths & Dish Towels,November,0,seasonal(November),"High demand: 2,420 units/mo | Only 8 reviews — near-zero entry barrier | Stable BSR — consistent sell-through | Market accessibility: Highly Accessible (10+ small sellers winning)","RESEARCH FURTHER — Strong signal, low reviews, high sales. Verify price on Amazon before sourcing. Seasonal peak: November — time inventory accordingly."
2,B0GC3CMXDS,"Titanium Cutting Board, 100% Pure Titanium Cutting Boards for Kitchen, Double-Si",53,C,102,4.6,809,N/A (Keepa gap),large_standard,Low (1 seller),1333,Stable,Accelerating,"Cutting Boards, Mats & Sets",May,0,seasonal(May),Solid demand: 809 units/mo | Moderate reviews (102) — manageable barrier | BSR stable with accelerating demand signal | Only 1 FBA seller — uncrowded Buy Box | Market accessibility: Highly Accessible (10+ small sellers winning),WATCH — Accelerating demand with clean data. Check live pricing; could upgrade to Buy. Seasonal peak: May — time inventory accordingly.
3,B0CSCSWMYZ,"Stainless Steel Cutting Board for Kitchen – 15.7 * 11.8"" Large Metal Chopping Bo",53,C,11,3.7,531,N/A (Keepa gap),large_standard,Unknown (no offer data),2836,Stable,Stable,"Cutting Boards, Mats & Sets",May,0,seasonal(May),Solid demand: 531 units/mo | Low review count (11) — easy to compete | Stable BSR — consistent sell-through | Market accessibility: Highly Accessible (10+ small sellers winning),RESEARCH FURTHER — Average score but data gaps limit confidence. Manual price + margin check required. Seasonal peak: May — time inventory accordingly.
4,B0CGBZ6X4R,GEOMETRY Kitchen Tea Towels - Quick Dry Microfiber Dish Towels for Kitchen Gold ,52,C,56,4.8,1508,N/A (Keepa gap),large_standard,Unknown (no offer data),779,Stable,Decelerating,Dish Cloths & Dish Towels,December,0,seasonal(December),"High demand: 1,508 units/mo | Moderate reviews (56) — manageable barrier | Stable BSR — consistent sell-through | Market accessibility: Highly Accessible (10+ small sellers winning)",RESEARCH FURTHER — Average score but data gaps limit confidence. Manual price + margin check required. Seasonal peak: December — time inventory accordingly.
5,B0CPPZL4L1,"Food Scale, Digital Kitchen Scale Batteries and USB Charging,1g/0.05oz Precise G",51,C,64,4.6,924,N/A (Keepa gap),large_standard,Unknown (no offer data),1184,Stable,Stable,Measuring Tools & Scales,March,0,seasonal(March),Solid demand: 924 units/mo | Moderate reviews (64) — manageable barrier | Stable BSR — consistent sell-through | Market accessibility: Highly Accessible (10+ small sellers winning),RESEARCH FURTHER — Average score but data gaps limit confidence. Manual price + margin check required. Seasonal peak: March — time inventory accordingly.
6,B0FR4JZM3L,HapiRm Sink Caddy Sponge Holder - 2 Installation Ways Kitchen Sink Organizer wit,51,C,2,4.5,870,N/A (Keepa gap),large_standard,Low (1 seller),1080,Stable,Accelerating,Kitchen Storage & Organization,May,4,data-penalty:4pt; seasonal(May),Solid demand: 870 units/mo | Only 2 reviews — near-zero entry barrier | BSR stable with accelerating demand signal | Only 1 FBA seller — uncrowded Buy Box | Market accessibility: Highly Accessible (10+ small sellers winning) | Note: 4pt data penalty applied (sparse Keepa history),RESEARCH FURTHER — Average score but data gaps limit confidence. Manual price + margin check required. Seasonal peak: May — time inventory accordingly.
7,B0FC5T7DR3,"Kiss Core Upgrade Bread Slicer for Homemade Bread, Bread Slicer Guide Adjustable",49,D,149,4.1,806,N/A (Keepa gap),large_standard,Low (1 seller),1970,Stable,Decelerating,"Cutting Boards, Mats & Sets",January,0,seasonal(January),Solid demand: 806 units/mo | Moderate reviews (149) — manageable barrier | Stable BSR — consistent sell-through | Only 1 FBA seller — uncrowded Buy Box | Market accessibility: Highly Accessible (10+ small sellers winning),AVOID — Decelerating demand trend is a red flag for new entrants. Seasonal peak: January — time inventory accordingly.
8,B0GR5SN87G,Bumble Dish Cloths (6 Pack) | 12” x 12” | 100% Cotton Kitchen Towels | 405 GSM |,48,D,0 (no data),N/A,2011,N/A (Keepa gap),large_standard,Unknown (no offer data),641,Stable,Stable,Dish Cloths & Dish Towels,Year-round,5,data-penalty:5pt; 0-reviews,"High demand: 2,011 units/mo | No established competitor reviews on record | Stable BSR — consistent sell-through | Market accessibility: Highly Accessible (10+ small sellers winning) | Note: 5pt data penalty applied (sparse Keepa history)",SKIP / VERIFY DATA — Low score compounded by missing Keepa history. Check manually on Amazon before any action.
9,B0FZRQL44D,"Titanium Cutting Boards 100% Pure Titanium Kitchen Cutting Board, Double-Sided N",48,D,8,5.0,1213,N/A (Keepa gap),large_standard,Unknown (no offer data),1333,Stable,Stable,"Cutting Boards, Mats & Sets",May,5,data-penalty:5pt; seasonal(May),"Solid demand: 1,213 units/mo | Only 8 reviews — near-zero entry barrier | Stable BSR — consistent sell-through | Market accessibility: Highly Accessible (10+ small sellers winning) | Note: 5pt data penalty applied (sparse Keepa history)",SKIP / VERIFY DATA — Low score compounded by missing Keepa history. Check manually on Amazon before any action. Seasonal peak: May — time inventory accordingly.
10,B0DKBY5HMB,Drawer Liner Non-Slip 2-Layer Shelf Liners for Kitchen Cupboards -45x900cm Gold ,46,D,0 (no data),N/A,1114,N/A (Keepa gap),large_standard,Unknown (no offer data),802,Stable,Stable,Kitchen Storage & Organization,April,5,data-penalty:5pt; 0-reviews; seasonal(April),"Solid demand: 1,114 units/mo | No established competitor reviews on record | Stable BSR — consistent sell-through | Market accessibility: Highly Accessible (10+ small sellers winning) | Note: 5pt data penalty applied (sparse Keepa history)",SKIP / VERIFY DATA — Low score compounded by missing Keepa history. Check manually on Amazon before any action. Seasonal peak: April — time inventory accordingly.
11,B0D2LGGM8K,Utopia Kitchen Can Organizer For Pantry - Soda Can Organizer For Refrigerator - ,44,D,1,5.0,505,N/A (Keepa gap),large_standard,Unknown (no offer data),1718,Stable,Decelerating,Kitchen Storage & Organization,July,4,data-penalty:4pt; seasonal(July),Solid demand: 505 units/mo | Only 1 reviews — near-zero entry barrier | Stable BSR — consistent sell-through | Market accessibility: Highly Accessible (10+ small sellers winning) | Note: 4pt data penalty applied (sparse Keepa history),AVOID — Decelerating demand trend is a red flag for new entrants. Seasonal peak: July — time inventory accordingly.
12,B0DS23ZQHH,304 Stainless Steel Chopping Board with Lip for Kitchen | With 2 Steel Straw | B,43,D,0 (no data),N/A,568,N/A (Keepa gap),large_standard,Unknown (no offer data),2594,Stable,Stable,"Cutting Boards, Mats & Sets",July,5,data-penalty:5pt; 0-reviews; seasonal(July),Solid demand: 568 units/mo | No established competitor reviews on record | Stable BSR — consistent sell-through | Market accessibility: Highly Accessible (10+ small sellers winning) | Note: 5pt data penalty applied (sparse Keepa history),SKIP / VERIFY DATA — Low score compounded by missing Keepa history. Check manually on Amazon before any action. Seasonal peak: July — time inventory accordingly.
